,post_id,timestamp,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,13455278,1667912390394115000,,,,,,
1,13471082,1667912390393114900,,,,,,
2,13499061,1667912390393114900,,,,,,
3,13510357,1667912390392115200,,,,,,
4,13518532,1667912390391115200,,,,,,
5,13426787,1667911925122171000,0.0,,,,,
6,13432084,1667911925073170900,1.0,,,,,
7,13458121,1667908461602814900,2.0,0.0,0.0,0.0,0.0,0.0
8,13474197,1667908461601814300,3.0,1.0,1.0,1.0,1.0,1.0
9,13467388,1667908461601814300,4.0,2.0,2.0,2.0,2.0,2.0
10,13393102,1667908461600814100,5.0,3.0,3.0,3.0,3.0,3.0
11,13458152,1667908461599814300,6.0,4.0,4.0,4.0,4.0,4.0
12,13388718,1667908461599814300,7.0,5.0,5.0,5.0,5.0,5.0
13,13379797,1667908461598814100,8.0,6.0,6.0,6.0,6.0,6.0
14,13499522,1667908461597814700,9.0,7.0,7.0,7.0,7.0,7.0
15,13492957,1667908461596814300,10.0,8.0,8.0,8.0,8.0,8.0
