post_id,timestamp,exist
13554850,1668424827142341800,False
13554211,1668419846067822500,True
13553688,1668416131637584400,False
13544022,1668270228079992700,False
13521677,1668175279518151200,False
13541461,1668175276563302000,True
13532173,1668171870250383700,False
13532210,1668171870231383900,False
13534714,1668171870185383100,False
13534066,1668160839909811800,False
13536680,1668160837521091600,False
13536120,1668160834274952700,False
13536903,1668160830793670100,False
13479576,1668010137637714700,True
13530301,1668005100275288000,False
13529929,1667999257085872100,False
13529811,1667999256941871900,False
13529479,1667995977919067300,False
13460861,1667990150289792700,False
13527303,1667990150283792800,False
13525528,1667990150282792800,False
13525755,1667990150281793100,False
13525356,1667990150279792800,False
13527089,1667990150279792800,False
13525334,1667990150278792700,False
13527299,1667990150276792600,False
13525104,1667990150274792700,False
13528056,1667990150272792800,False
13525691,1667990150270792700,False
13436046,1667919257639934400,False
13397333,1667919257634934400,False
13524791,1667919257628934500,False
13368804,1667916454822648400,False
13471986,1667916454820648400,False
13501809,1667916454820648400,False
13497807,1667916454819648400,False
13503911,1667916454819648400,False
13390896,1667916454818648400,False
13497997,1667916454818648400,False
13498487,1667916454817648400,False
13493815,1667916454816648700,False
13501063,1667916454816648700,False
13380479,1667916454815648300,False
13475072,1667916454815648300,False
13517893,1667916454814648400,False
13520238,1667916454814648400,False
13524722,1667916454813648300,False
13396518,1667916454813648300,False
13345019,1667916454812648400,False
13513516,1667916454812648400,False
13409723,1667916454811647700,False
13447674,1667916454811647700,False
13450389,1667916454810648300,False
13473492,1667916454810648300,False
13494815,1667916454809648300,False
13510222,1667916454809648300,False
13517284,1667916454809648300,False
13516358,1667916454808648600,False
13508631,1667916454807648400,False
13516894,1667916454806648600,False
13522171,1667916454806648600,False
13522080,1667916454805648300,False
13522628,1667916454805648300,False
13523805,1667916454804648400,False
13523930,1667916454804648400,False
13421013,1667916454803648300,False
13394356,1667916454803648300,False
13425935,1667916454802648400,False
13477816,1667916454802648400,False
13492687,1667916454801648100,False
13493466,1667916454801648100,False
13494563,1667916454800648300,False
13496823,1667916454800648300,False
13498617,1667916454799648400,False
13470774,1667916454798648400,False
13511823,1667916454798648400,False
13376259,1667916454797648300,False
13380496,1667916454797648300,False
13415022,1667916454796648400,False
13422143,1667916454796648400,False
13433266,1667916454795648100,False
13435799,1667916454795648100,False
13473812,1667916454794648300,False
13494416,1667916454794648300,False
13506884,1667916454793648400,False
13431635,1667916454793648400,False
13432355,1667916454793648400,False
13507049,1667916454792648300,False
13498076,1667916454791648200,False
13371938,1667916454791648200,False
13406880,1667916454790648400,False
13416794,1667916454790648400,False
13471290,1667916454789648500,False
13471320,1667916454788648300,False
13481185,1667916454788648300,False
13484386,1667916454787648400,False
13500837,1667916454787648400,False
13522238,1667916454786648500,False
13524718,1667916454786648500,False
13524721,1667916454786648500,False
13524724,1667916454785648300,False
13440758,1667916454783648400,False
13454682,1667916454783648400,False
13466131,1667916454782648100,False
13472577,1667916454782648100,False
13521531,1667916454781648400,False
13455278,1667913673488954700,False
13518532,1667913673475954900,False
13432084,1667911925073170900,False
13458121,1667908461602814900,False
13474197,1667908461601814300,False
13467388,1667908461601814300,False
13393102,1667908461600814100,False
13458152,1667908461599814300,False
13388718,1667908461599814300,False
13379797,1667908461598814100,False
13499522,1667908461597814700,False
13492957,1667908461596814300,False
